,location,burn_in,long_term_degredation,initial_pce,module_cost,two_years_lcoe,five_years_lcoe,ten_years_lcoe,tw_five_years_lcoe
2952,Copenhagen,0.4,0.008,0.05,0.049,0.786022337,0.77028938,0.893818755,0.972172396
2953,Copenhagen,0.4,0.008,0.11,0.049,0.398453554,0.380228408,0.43609438,0.469918065
2954,Copenhagen,0.4,0.008,0.15,0.049,0.312327265,0.29354832,0.334378012,0.358306175
2955,Copenhagen,0.4,0.008,0.21,0.049,0.244656723,0.225442672,0.254458178,0.270611314
2956,Copenhagen,0.4,0.008,0.07,0.049,0.583010071,0.565971674,0.6540583,0.709086715
2957,Copenhagen,0.4,0.008,0.13,0.049,0.348765298,0.33022065,0.377411842,0.405526569
2958,Copenhagen,0.4,0.008,0.27,0.049,0.207062084,0.187606329,0.21005843,0.22189213
2959,Copenhagen,0.4,0.008,0.17,0.049,0.284462905,0.265504795,0.301469817,0.322196494
2960,Copenhagen,0.4,0.008,0.33,0.049,0.183138311,0.16352876,0.181804175,0.190889162
2961,Copenhagen,0.4,0.008,0.23,0.049,0.229945763,0.21063713,0.237084343,0.251547262
2962,Copenhagen,0.4,0.01,0.03,0.049,1.278471151,1.323712746,1.542384917,1.66027421
2963,Copenhagen,0.4,0.008,0.29,0.049,0.197987539,0.178473445,0.199341283,0.210132365
2964,Copenhagen,0.4,0.008,0.19,0.049,0.262464743,0.243365191,0.275489688,0.29368888
2965,Copenhagen,0.4,0.008,0.35,0.049,0.176986502,0.157337407,0.174538823,0.182917002
2966,Copenhagen,0.4,0.008,0.25,0.049,0.21758857,0.19820049,0.222490341,0.235533479
2967,Copenhagen,0.4,0.01,0.09,0.049,0.477225764,0.480284485,0.552801075,0.589276084
2968,Copenhagen,0.4,0.01,0.05,0.049,0.797723854,0.817655708,0.948634511,1.017675219
2969,Copenhagen,0.4,0.01,0.15,0.049,0.316976882,0.311599076,0.354884611,0.375076804
2970,Copenhagen,0.4,0.008,0.31,0.049,0.190083912,0.17051901,0.190007008,0.199890006
2971,Copenhagen,0.4,0.01,0.01,0.049,3.682207962,3.85399834,4.511137456,4.873269736
2972,Copenhagen,0.4,0.01,0.11,0.049,0.404385333,0.403609262,0.462839,0.491912723
2973,Copenhagen,0.4,0.01,0.21,0.049,0.248298928,0.239305503,0.270063487,0.283277359
2974,Copenhagen,0.4,0.01,0.07,0.049,0.591689344,0.600774178,0.694170123,0.742275734
2975,Copenhagen,0.4,0.01,0.17,0.049,0.288697705,0.281831111,0.319958236,0.337276998
2976,Copenhagen,0.4,0.01,0.27,0.049,0.210144618,0.199142543,0.222940809,0.232277858
